Gender,Location,Age.Band,Age,Completion.Time,Part.A.Score,Part.B.Score,Part.C.Score
M,A,Y,17,68,44,49,37
F,D,M,53,36,2,77,70
F,A,Y,20,55,37,50,29
M,A,Y,37,68,8,67,35
M,E,O,71,34,20,54,78
F,B,U,7,48,74,50,80
F,D,O,88,28,61,49,34
M,C,M,61,50,7,74,58
M,A,Y,36,34,9,53,39
M,E,O,92,24,74,61,95
F,D,M,53,26,2,71,48
M,B,O,90,30,68,41,70
F,A,U,7,55,74,50,41
F,E,M,52,44,2,69,42
M,E,U,14,63,52,48,19
M,D,Y,21,36,34,55,43
F,E,O,81,30,42,44,85
M,B,Y,18,54,42,46,36
M,E,O,83,28,47,53,75
M,A,U,13,62,55,48,24
M,A,M,42,32,4,70,47
F,B,Y,26,68,24,58,60
M,A,U,14,31,52,49,20
F,C,M,61,50,7,69,86
F,B,O,67,14,14,35,90
F,E,U,9,66,68,54,30
M,D,O,87,41,58,61,66
F,B,M,61,35,7,75,69
M,A,U,13,17,55,37,12
M,E,O,73,34,24,52,81
M,A,M,44,64,3,64,46
M,A,O,71,33,20,51,93
M,D,U,14,48,52,48,15
F,C,Y,29,40,19,39,48
M,E,M,48,46,2,68,55
M,B,O,71,60,20,49,83
M,B,Y,20,36,37,44,39
F,A,U,11,27,61,63,91
F,B,U,10,42,64,49,79
M,E,O,78,31,34,54,84
F,D,M,56,44,4,68,29
F,A,O,75,26,28,51,87
F,E,Y,28,56,20,50,100
M,D,M,44,30,3,71,53
M,D,U,15,34,50,57,26
F,D,O,75,26,28,42,92
M,D,M,61,25,7,76,54
M,E,O,65,38,12,49,81
M,A,Y,25,53,26,33,41
F,D,Y,35,46,10,61,45
F,A,O,87,61,58,59,79
F,A,Y,39,22,6,47,47
F,D,M,47,44,2,67,76
F,A,U,13,39,55,48,80
M,B,Y,35,33,10,46,43
F,E,M,56,42,4,65,41
M,D,Y,31,26,16,53,40
M,E,Y,34,53,12,47,44
M,E,O,93,24,78,40,86
F,A,U,8,36,71,47,64
F,E,U,10,65,64,50,37
M,E,O,95,22,85,40,79
M,B,O,78,44,34,66,67
F,D,U,12,33,58,49,51
M,A,Y,27,16,22,50,44
F,A,M,58,28,5,64,31
F,B,M,43,34,4,77,76
M,C,O,83,58,47,52,94
M,D,M,45,34,3,72,54
F,B,M,49,43,2,61,87
F,B,M,62,60,8,70,73
F,B,Y,24,50,28,43,85
F,A,Y,27,30,22,60,65
F,B,U,7,22,74,49,65
F,E,O,69,36,17,54,35
M,C,O,72,54,22,47,68
F,A,U,14,38,52,49,71
M,A,U,14,37,52,44,19
F,D,O,79,44,37,51,21
F,D,U,14,115,52,37,56
F,A,Y,38,35,7,46,65
F,D,O,84,45,50,62,100
M,A,M,59,16,6,67,57
F,C,U,7,32,74,39,49
F,A,O,71,63,20,54,76
F,B,M,53,37,2,67,28
M,D,M,45,40,3,67,46
F,B,U,13,38,55,58,73
M,B,M,57,36,4,71,57
F,D,Y,21,32,34,40,72
F,B,Y,22,56,32,35,53
F,A,Y,28,46,20,51,75
F,D,Y,31,42,16,50,22
M,B,M,64,32,10,73,56
F,A,M,43,31,4,68,25
M,D,Y,35,115,10,49,41
F,D,U,9,41,68,42,39
F,E,Y,27,56,22,56,23
F,D,U,5,45,81,55,50
M,B,Y,36,60,9,37,42
F,D,U,12,29,58,51,42
M,C,M,47,46,2,73,53
F,E,Y,29,56,19,58,94
F,D,Y,25,45,26,52,84
F,C,U,11,34,61,54,22
F,A,M,47,59,2,61,66
F,E,O,66,37,13,43,91
F,A,M,49,52,2,70,52
M,B,Y,39,44,6,59,37
M,E,O,72,34,22,45,69
M,A,O,94,34,81,59,82
F,D,Y,28,37,20,45,27
F,B,Y,33,50,13,26,97
F,E,M,56,42,4,69,38
M,A,U,8,54,71,56,24
M,C,O,80,57,39,47,81
F,A,M,57,34,4,74,65
F,B,M,62,31,8,75,40
M,C,M,60,50,6,70,54
F,A,U,12,31,58,58,33
F,D,U,10,47,64,46,21
M,A,Y,33,18,13,48,38
F,A,O,91,63,71,45,87
M,A,Y,36,29,9,54,45
M,D,Y,27,29,22,46,41
F,B,M,40,48,6,71,71
M,C,M,46,45,2,72,48
M,B,M,52,36,2,59,52
F,A,M,62,20,8,67,33
F,B,O,79,20,37,57,23
M,C,O,88,59,61,47,72
M,C,M,44,45,3,60,57
F,E,O,66,37,13,60,61
F,B,U,7,43,74,50,44
M,E,Y,26,57,24,27,44
F,C,M,46,45,2,80,21
F,D,O,75,38,28,47,22
F,B,Y,33,54,13,52,86
M,C,U,9,33,68,46,23
F,A,M,54,30,3,73,32
F,B,O,89,10,64,60,55
M,B,U,13,38,55,55,29
F,A,O,75,35,28,43,55
M,B,Y,35,29,10,53,41
M,E,O,85,28,52,41,91
F,E,M,53,44,2,69,100
F,B,M,44,24,3,65,50
M,E,Y,29,56,19,55,38
F,D,U,9,45,68,40,51
M,E,O,95,22,85,52,89
F,D,Y,18,48,42,60,72
F,C,U,11,34,61,42,24
F,C,O,75,55,28,49,48
F,A,M,47,19,2,69,80
F,B,O,66,20,13,53,44
F,B,M,47,38,2,67,88
F,E,U,14,63,52,45,33
F,D,Y,30,36,17,35,97
M,A,M,59,23,6,69,46
M,B,Y,16,25,47,49,42
M,D,O,91,33,71,56,70
M,C,Y,30,40,17,31,35
M,C,Y,18,36,42,34,36
F,C,Y,31,40,16,54,42
F,A,M,62,55,8,70,63
M,D,U,12,44,58,44,12
M,B,U,9,58,68,44,13
M,E,M,59,40,6,78,53
M,E,U,7,66,74,55,12
M,D,O,86,49,55,49,82
F,D,O,87,40,58,56,92
F,C,M,43,44,4,73,82
F,E,M,46,47,2,77,87
F,D,Y,34,43,12,54,96
M,A,Y,34,62,12,58,35
M,E,M,44,48,3,66,60
M,A,M,54,45,3,70,52
F,D,O,74,37,26,40,100
M,C,O,93,61,78,47,70
F,A,U,8,18,71,49,74
M,B,Y,27,33,22,42,41
F,E,Y,22,59,32,41,58
M,B,U,13,41,55,36,12
M,A,O,83,115,47,61,73
F,E,O,77,32,32,43,89
F,B,Y,33,66,13,50,67
F,A,O,91,16,71,59,23
M,E,O,65,38,12,54,82
M,D,M,43,40,4,74,50
F,B,O,76,16,30,47,47
M,D,O,77,28,32,50,80
M,D,O,79,39,37,47,73
F,C,M,55,48,3,71,49
M,A,U,9,60,68,58,25
F,B,M,50,20,2,76,56
M,E,Y,21,60,34,49,38
M,A,O,72,47,22,53,84
F,C,O,84,58,50,57,66
M,B,M,44,27,3,72,55
M,D,M,44,34,3,69,50
M,A,U,7,30,74,40,30
F,C,U,13,34,55,44,40
M,D,U,5,43,81,50,11
F,E,O,84,28,50,60,32
F,B,U,9,21,68,56,92
F,B,Y,39,59,6,35,89
M,C,U,11,120,61,65,23
M,A,O,81,65,42,49,77
F,A,M,42,58,4,75,61
M,E,Y,17,62,44,40,37
F,A,O,94,49,81,43,70
M,D,M,40,41,6,72,59
F,C,U,8,33,71,50,95
F,D,M,44,27,3,71,38
M,B,O,72,36,22,38,92
F,A,Y,22,50,32,58,50
F,B,U,11,32,61,40,73
F,C,U,7,32,74,52,24
F,A,O,70,16,19,51,88
M,A,O,93,57,78,54,78
F,C,Y,18,36,42,57,48
F,C,O,91,60,71,45,72
F,C,M,43,44,4,71,36
F,D,M,51,46,2,62,48
F,C,U,6,32,78,54,44
M,D,O,65,48,12,46,67
F,C,O,66,52,13,48,32
M,E,M,41,118,5,70,45
F,E,Y,38,51,7,59,92
F,B,U,13,37,55,45,63
F,E,O,89,26,64,57,82
F,E,M,47,46,2,68,63
F,E,M,45,48,3,65,43
F,E,M,49,46,2,71,36
M,A,M,46,18,2,70,52
M,A,M,61,69,7,79,56
M,B,Y,28,22,20,42,37
F,C,O,86,119,55,49,55
M,A,Y,22,24,32,63,36
F,E,M,48,46,2,75,98
M,A,Y,29,17,19,61,39
M,A,Y,32,55,14,48,45
M,B,U,10,49,64,45,18
M,D,M,60,36,6,71,53
F,B,O,92,20,74,47,31
M,D,M,59,50,6,75,45
M,E,M,62,39,8,68,48
F,A,U,7,33,74,55,63
M,E,Y,19,60,39,58,37
F,B,O,91,14,71,60,31
F,D,Y,27,30,22,40,74
F,D,Y,30,45,17,67,88
M,D,Y,20,37,37,48,40
M,A,O,85,33,52,63,81
F,E,U,12,64,58,51,21
M,A,O,75,40,28,49,73
F,C,M,62,51,8,73,95
F,D,U,12,45,58,49,75
F,C,O,92,61,74,50,58
M,E,O,91,24,71,48,71
F,B,Y,23,52,30,52,27
M,D,Y,17,26,44,56,37
M,B,Y,34,20,12,52,42
M,E,U,12,64,58,40,29
M,D,M,55,30,3,65,47
M,E,M,43,48,4,71,58
M,C,Y,30,40,17,54,45
F,D,U,7,47,74,52,65
F,E,U,6,67,78,47,96
M,B,O,84,22,50,42,91
F,B,U,8,39,71,50,63
M,D,Y,20,40,37,32,45
F,D,U,6,48,78,40,61
M,B,U,14,32,52,47,19
M,C,O,78,56,34,49,93
M,E,U,12,64,58,51,10
M,B,O,66,39,13,63,76
M,C,M,55,48,3,69,49
F,E,U,7,66,74,46,98
M,A,Y,37,65,8,56,41
F,B,M,52,45,2,68,71
F,C,M,56,49,4,76,91
F,A,U,10,28,64,47,27
M,A,M,43,44,4,70,52
M,B,U,9,57,68,44,11
M,E,U,9,66,68,47,12
F,B,Y,20,69,37,34,50
F,A,Y,27,46,22,51,80
F,E,O,74,33,26,59,42
M,E,M,56,42,4,69,54
F,D,U,12,35,58,49,95
F,D,M,54,34,3,65,90
F,C,Y,18,36,42,43,27
F,E,M,59,40,6,79,36
F,C,O,83,58,47,57,68
M,A,Y,29,34,19,33,39
M,C,O,83,58,47,41,90
M,E,Y,28,56,20,57,36
M,B,M,63,36,9,75,54
F,E,M,49,46,2,78,69
M,A,Y,21,40,34,45,36
F,E,M,48,46,2,68,31
F,D,Y,37,36,8,69,63
M,E,Y,36,52,9,60,37
F,D,O,85,27,52,66,23
M,B,M,60,53,6,72,60
M,D,Y,18,31,42,54,35
M,E,Y,34,53,12,50,38
M,C,U,14,35,52,46,15
M,A,O,70,22,19,50,85
F,C,O,68,53,16,59,27
M,A,M,42,65,4,67,48
F,C,U,12,34,58,55,94
M,C,M,59,50,6,69,48
M,A,O,85,17,52,46,66
M,E,U,14,63,52,46,12
F,A,Y,39,53,6,42,47
F,D,U,10,49,64,50,78
F,E,U,9,66,68,52,27
M,E,O,83,28,47,56,66
M,D,U,11,28,61,55,30
F,A,M,62,48,8,66,86
F,B,O,86,18,55,51,75
F,B,M,59,112,6,69,54
F,E,U,13,64,55,51,54
F,A,U,12,66,58,43,62
F,B,Y,17,68,44,46,26
M,B,M,61,29,7,80,50
M,C,Y,27,39,22,58,44
M,C,U,9,33,68,48,29
F,B,U,7,41,74,44,27
F,B,M,45,54,3,71,43
M,E,Y,28,56,20,38,45
M,C,O,68,53,16,40,73
M,B,M,61,46,7,72,58
F,D,Y,22,30,32,65,85
M,A,Y,22,69,32,64,37
F,C,U,12,34,58,54,26
F,A,O,89,16,64,47,53
F,E,O,68,36,16,55,80
F,D,U,15,47,50,62,89
F,A,O,66,57,13,41,59
M,B,U,15,39,50,53,12
F,A,Y,16,49,47,36,93
F,C,U,11,34,61,51,93
M,D,O,91,39,71,50,71
F,E,O,72,34,22,51,45
F,D,U,11,44,61,54,30
F,B,Y,22,58,32,38,98
M,C,M,50,47,2,75,48
F,C,U,8,33,71,46,91
M,A,O,67,25,14,55,76
F,A,Y,32,66,14,56,38
M,C,M,44,45,3,70,51
F,A,O,65,19,12,45,45
M,C,Y,38,43,7,54,37
F,C,O,75,55,28,37,52
M,B,U,13,52,55,39,28
M,D,O,82,29,44,40,71
M,C,M,54,48,3,72,47
M,C,Y,22,37,32,37,37
M,B,U,13,46,55,57,27
F,E,U,14,63,52,47,46
M,D,Y,22,35,32,25,39
F,D,Y,21,50,34,49,43
M,D,U,12,50,58,46,22
F,D,M,60,31,6,71,27
M,C,O,83,58,47,62,72
M,A,M,57,32,4,67,55
F,B,O,78,15,34,43,85
M,B,M,50,28,2,70,56
F,E,O,70,35,19,59,63
M,B,U,12,55,58,47,27
M,D,Y,21,26,34,31,43
F,D,M,56,30,4,63,98
F,D,O,84,32,50,39,93
F,A,U,6,24,78,50,97
M,A,M,40,45,6,65,46
M,C,Y,20,37,37,48,44
M,B,M,63,56,9,69,47
M,E,U,12,64,58,51,14
F,B,M,51,57,2,69,82
F,B,O,68,19,16,42,91
M,A,O,78,40,34,47,86
F,E,M,49,46,2,63,66
F,D,M,53,26,2,80,46
F,E,U,11,64,61,51,45
F,B,O,81,15,42,43,51
F,B,Y,27,55,22,48,67
M,E,Y,25,58,26,46,39
M,A,O,66,44,13,43,75
M,B,M,64,22,10,70,51
F,D,M,60,47,6,77,33
M,A,Y,17,61,44,51,44
F,C,U,13,34,55,48,97
M,B,M,42,50,4,70,48
M,A,M,60,43,6,70,60
F,A,Y,35,60,10,70,84
M,D,M,63,47,9,72,52
M,E,O,84,28,50,48,87
F,E,O,95,22,85,56,34
M,D,U,5,44,81,49,27
M,A,U,10,55,64,47,21
M,E,O,67,36,14,49,94
M,A,Y,32,31,14,54,42
M,C,M,53,48,2,76,54
F,E,O,65,38,12,52,63
M,A,U,11,54,61,51,30
F,D,U,10,46,64,55,80
M,D,O,94,30,81,56,88
F,B,U,11,55,61,54,62
M,D,M,48,41,2,66,52
M,B,U,13,39,55,46,22
F,D,M,49,36,2,68,59
F,C,U,11,34,61,47,86
M,A,O,66,16,13,58,75
F,A,U,10,17,64,43,97
M,D,Y,23,35,30,55,43
M,C,O,91,60,71,56,80
F,C,U,6,32,78,38,83
M,A,U,7,16,74,49,22
F,A,U,5,15,81,57,21
F,B,M,62,39,8,67,84
M,A,U,9,17,68,47,15
M,A,Y,28,41,20,55,39
M,A,U,5,19,81,47,23
F,A,O,71,22,20,47,55
F,D,O,84,27,50,55,29
F,C,M,63,51,9,71,43
F,C,Y,24,38,28,53,89
M,D,O,72,39,22,47,76
M,A,O,69,34,17,51,69
F,A,Y,21,36,34,52,83
F,E,Y,28,56,20,60,64
M,A,M,63,69,9,68,54
F,E,O,70,35,19,40,29
M,A,O,90,48,68,55,91
F,C,U,5,32,81,38,25
F,E,Y,39,111,6,53,56
F,D,U,9,28,68,56,27
F,B,M,61,32,7,60,78
F,C,O,89,60,64,51,97
F,B,U,6,30,78,49,52
M,A,O,74,29,26,52,90
M,C,O,77,56,32,55,81
M,D,M,61,43,7,68,57
F,A,O,81,21,42,54,88
M,E,O,68,36,16,42,80
M,E,U,11,64,61,45,26
F,D,O,95,28,85,51,82
F,D,Y,19,37,39,56,48
M,E,O,91,24,71,49,67
M,C,U,13,34,55,55,20
M,D,U,10,38,64,48,22
M,D,M,58,42,5,74,49
F,B,M,45,40,3,72,33
F,E,U,13,64,55,45,90
M,E,U,11,64,61,47,26
F,E,O,84,28,50,57,33
M,C,U,11,34,61,57,13
M,A,Y,35,23,10,41,40
M,C,U,5,32,81,64,30
F,C,U,7,32,74,58,85
F,B,Y,18,60,42,55,81
M,C,U,10,33,64,56,21
F,D,O,93,27,78,51,33
F,A,O,94,37,81,63,90
M,B,O,76,36,30,52,92
M,D,O,76,28,30,60,76
M,C,O,66,52,13,51,69
M,A,M,46,34,2,67,55
F,D,U,15,38,50,53,20
F,E,O,93,24,78,52,36
F,A,U,13,23,55,52,53
F,C,U,8,33,71,57,81
F,A,U,5,15,81,42,55
M,A,O,68,65,16,50,79
F,A,U,14,15,52,60,100
F,B,Y,18,64,42,53,24
F,C,Y,37,42,8,56,52
F,C,Y,29,40,19,57,79
M,C,O,89,60,64,55,70
M,C,M,53,48,2,68,57
M,E,M,44,48,3,69,59
F,D,U,8,32,71,48,92
M,D,O,86,50,55,45,92
F,D,O,83,45,47,41,92
F,B,U,8,55,71,49,35
F,D,M,56,46,4,78,62
M,E,Y,23,58,30,46,45
M,E,Y,36,52,9,59,38
F,E,U,7,66,74,48,35
F,C,Y,29,40,19,60,36
F,D,M,50,45,2,74,46
M,A,U,10,40,64,47,26
M,A,O,83,67,47,43,72
M,D,M,51,35,2,77,51
F,C,M,51,47,2,64,64
M,E,Y,18,61,42,53,39
F,C,Y,18,36,42,55,72
F,D,Y,32,46,14,45,21
F,D,Y,30,43,17,48,86
F,B,O,74,11,26,50,86
M,E,Y,20,60,37,43,39
M,D,M,43,49,4,67,46
M,A,O,71,16,20,54,84
M,B,Y,22,53,32,46,40
F,C,O,95,62,85,49,40
F,A,Y,23,48,30,54,31
M,C,O,76,55,30,38,95
F,D,M,44,49,3,73,37
M,B,U,11,31,61,57,15
F,E,U,13,64,55,47,58
M,C,Y,24,38,28,46,37
F,A,U,5,35,81,46,71
F,A,U,10,27,64,41,36
F,C,Y,31,40,16,51,71
M,C,M,41,44,5,71,57
M,B,O,74,58,26,50,76
M,D,U,14,31,52,56,13
M,D,M,59,40,6,69,56
M,E,M,53,44,2,68,54
F,C,U,5,32,81,40,63
M,D,U,6,27,78,41,14
F,D,M,61,32,7,65,38
F,D,Y,19,41,39,56,69
F,B,Y,35,69,10,70,57
M,D,O,89,30,64,56,71
M,E,Y,28,56,20,48,39
M,C,Y,30,40,17,37,41
F,C,M,46,120,2,78,47
F,E,M,43,48,4,67,61
F,C,Y,31,40,16,48,24
M,D,Y,20,48,37,50,43
M,E,U,14,63,52,48,22
F,C,U,5,32,81,56,81
M,E,U,6,67,78,50,30
F,B,O,79,12,37,61,84
M,D,O,72,28,22,57,86
F,B,M,54,58,3,67,52
M,A,M,48,43,2,72,58
M,C,O,66,52,13,51,77
M,B,U,7,56,74,64,25
F,B,Y,28,52,20,40,41
F,D,U,8,32,71,52,81
F,A,U,10,63,64,43,34
F,D,O,90,45,68,54,78
M,E,O,80,30,39,62,95
F,C,M,57,49,4,73,55
F,E,O,76,32,30,69,57
M,B,Y,24,48,28,37,36
F,E,O,95,22,85,52,70
M,A,M,43,48,4,75,52
F,B,M,58,46,5,72,20
M,B,Y,39,41,6,50,42
F,D,M,57,43,4,72,22
M,A,Y,22,57,32,43,37
M,D,Y,23,38,30,59,44
M,E,U,14,63,52,58,19
F,E,U,11,64,61,43,85
F,B,M,58,39,5,72,50
F,B,U,10,28,64,54,46
F,E,Y,35,52,10,43,92
M,A,M,61,23,7,71,49
M,C,M,63,51,9,67,53
F,C,M,47,46,2,68,98
M,B,M,58,22,5,71,58
F,E,Y,37,52,8,49,51
M,D,Y,38,39,7,47,45
M,A,Y,22,27,32,53,45
F,C,M,61,50,7,66,40
F,E,Y,21,60,34,60,31
M,A,O,71,64,20,52,93
M,A,O,74,41,26,45,94
M,B,O,85,36,52,50,81
M,C,M,62,51,8,70,52
F,C,Y,29,40,19,43,29
M,A,O,95,57,85,47,92
F,E,O,83,28,47,48,92
F,E,M,58,41,5,85,41
M,D,Y,38,43,7,52,40
M,E,Y,22,59,32,53,41
F,B,O,87,17,58,63,65
F,E,Y,20,60,37,46,60
M,E,Y,24,58,28,63,41
F,A,O,71,59,20,45,56
M,B,O,88,51,61,59,75
F,A,Y,36,51,9,51,41
M,E,U,7,66,74,56,10
F,E,M,56,42,4,74,57
M,A,O,82,65,44,59,84
M,D,O,77,38,32,48,85
F,B,O,79,11,37,57,57
F,C,Y,24,38,28,48,69
M,E,O,79,30,37,49,84
F,E,M,53,44,2,75,38
F,D,U,9,50,68,49,75
F,B,M,53,32,2,69,44
M,A,Y,28,22,20,48,37
M,B,U,10,30,64,47,28
M,E,U,7,66,74,56,26
M,C,M,49,46,2,66,55
F,C,U,8,33,71,45,46
F,D,O,93,47,78,46,52
F,B,M,60,44,6,66,76
M,D,O,87,27,58,45,66
M,D,O,81,42,42,43,84
F,C,Y,16,35,47,66,91
M,A,M,48,17,2,68,59
F,A,O,91,70,71,48,21
M,C,M,58,49,5,80,48
F,D,M,49,36,2,70,68
M,E,O,85,28,52,45,80
M,C,Y,35,42,10,54,42
M,E,O,70,35,19,46,71
M,E,U,9,66,68,63,11
F,A,O,76,48,30,44,23
F,E,M,45,48,3,69,25
F,A,M,51,50,2,67,99
F,B,U,9,24,68,42,41
F,A,Y,25,33,26,68,97
M,D,O,80,119,39,51,69
F,D,O,68,41,16,52,27
F,E,Y,38,51,7,43,23
F,C,M,59,50,6,75,28
F,C,M,59,50,6,67,24
M,A,M,46,17,2,72,53
F,C,M,52,117,2,76,35
M,A,Y,16,40,47,59,40
F,A,M,53,59,2,76,99
F,B,Y,35,60,10,50,66
M,B,M,48,55,2,72,49
M,C,Y,17,36,44,53,43
M,C,Y,20,37,37,64,44
F,B,M,54,58,3,71,22
M,C,Y,36,42,9,46,43
F,B,U,9,35,68,45,35
F,E,M,55,42,3,72,32
F,E,Y,25,58,26,47,41
M,D,U,7,113,74,61,16
F,E,O,68,36,16,49,45
M,C,M,44,45,3,70,60
M,A,O,87,38,58,47,91
F,A,O,80,53,39,62,50
F,D,Y,18,45,42,53,85
M,B,O,81,23,42,42,94
F,A,Y,18,48,42,51,80
F,E,U,11,64,61,52,39
F,C,U,6,32,78,50,50
F,D,O,72,27,22,47,76
F,A,M,45,15,3,72,84
F,D,M,42,40,4,68,64
F,E,O,88,26,61,47,28
M,B,O,89,55,64,49,88
M,B,U,7,54,74,50,11
M,A,O,69,68,17,47,95
F,D,O,75,39,28,50,58
F,A,Y,38,37,7,61,31
M,E,U,15,112,50,44,18
F,E,Y,18,61,42,54,42
M,C,Y,27,39,22,48,40
M,D,M,47,34,2,69,52
M,B,U,14,29,52,55,22
F,D,Y,18,28,42,54,63
M,E,Y,24,58,28,55,37
F,D,O,74,49,26,54,80
M,C,O,84,58,50,60,93
M,C,U,6,32,78,42,12
M,E,U,14,63,52,49,18
F,B,Y,37,59,8,49,33
M,E,Y,22,59,32,47,42
M,C,Y,32,41,14,50,43
M,E,M,58,41,5,68,49
M,E,M,56,42,4,72,58
F,D,U,13,45,55,50,68
F,E,O,66,37,13,45,79
F,E,U,8,66,71,41,37
M,D,O,83,46,47,54,71
F,B,O,88,12,61,43,35
F,B,Y,37,58,8,51,21
M,B,U,9,54,68,45,18
F,B,M,45,49,3,69,26
F,A,M,54,18,3,78,81
F,A,U,14,30,52,65,80
F,C,U,12,34,58,45,41
M,B,Y,21,54,34,39,40
M,D,U,9,37,68,45,27
M,D,U,14,31,52,58,28
F,B,O,72,12,22,45,58
M,E,Y,38,51,7,52,43
M,C,O,76,55,30,49,68
F,E,M,44,48,3,66,99
F,A,M,44,59,3,75,97
F,C,Y,17,36,44,30,72
F,C,Y,27,39,22,46,68
F,A,O,87,17,58,45,36
F,D,O,93,44,78,59,55
F,C,M,60,50,6,74,94
M,D,U,13,43,55,48,12
F,D,M,52,47,2,76,74
F,C,O,82,57,44,44,39
M,B,U,6,40,78,43,29
M,A,M,53,23,2,75,46
F,E,Y,24,58,28,43,33
M,A,O,94,48,81,63,86
M,B,U,10,36,64,50,29
F,D,Y,25,26,26,59,39
M,C,Y,20,37,37,35,42
F,D,O,65,29,12,52,58
M,D,M,53,48,2,69,47
M,A,Y,18,22,42,62,38
F,A,Y,38,38,7,55,94
M,A,M,57,34,4,64,46
M,B,M,45,31,3,73,45
M,A,Y,27,40,22,55,35
F,C,O,84,58,50,37,51
M,D,M,41,26,5,69,55
M,C,O,81,57,42,47,79
M,A,Y,26,65,24,52,37
M,C,M,56,49,4,74,57
F,A,M,44,50,3,64,56
M,D,O,67,37,14,56,71
F,E,O,73,34,24,47,30
M,E,Y,18,61,42,46,41
F,A,Y,34,25,12,60,48
F,E,Y,29,56,19,41,60
F,C,U,8,33,71,55,79
F,C,Y,30,40,17,53,84
F,A,U,14,21,52,52,98
M,A,U,14,52,52,54,23
M,A,U,13,52,55,61,30
F,B,U,11,42,61,59,55
M,B,O,89,33,64,49,69
F,C,M,51,47,2,62,44
F,A,Y,31,57,16,59,39
F,C,M,41,44,5,74,94
M,A,U,13,57,55,53,10
F,D,Y,20,31,37,50,85
M,E,M,44,48,3,75,50
F,E,U,6,67,78,47,92
M,C,Y,31,40,16,64,44
F,C,Y,23,38,30,53,26
F,B,M,46,39,2,67,21
F,A,Y,39,59,6,37,43
F,D,Y,22,48,32,56,48
M,D,U,8,35,71,53,23
F,B,M,59,46,6,63,25
F,E,M,45,48,3,67,63
F,D,O,93,42,78,43,32
F,D,O,80,28,39,50,32
F,B,O,67,13,14,61,84
F,E,U,7,66,74,48,33
F,D,M,64,36,10,74,47
M,A,U,7,23,74,48,19
M,A,O,84,33,50,39,91
M,C,U,11,34,61,50,25
F,B,O,75,17,28,59,31
M,B,Y,18,36,42,52,39
F,B,Y,25,68,26,62,69
M,C,M,56,49,4,67,45
F,D,U,6,49,78,49,91
M,B,Y,24,40,28,47,44
F,A,M,62,22,8,73,76
M,A,O,81,16,42,58,78
M,C,O,76,55,30,62,67
M,B,M,54,20,3,73,60
M,E,O,95,22,85,52,90
F,B,M,59,54,6,68,34
M,D,Y,33,40,13,53,43
F,B,Y,29,63,19,49,80
F,C,Y,20,37,37,59,43
F,D,M,46,38,2,62,81
M,C,O,68,53,16,32,79
F,E,U,5,68,81,49,99
F,E,U,9,66,68,52,46
M,D,M,41,30,5,72,59
F,D,M,54,47,3,66,37
F,D,Y,34,48,12,43,49
F,C,M,61,50,7,67,58
M,C,U,6,32,78,52,20
M,D,O,76,34,30,54,82
F,B,U,10,50,64,50,49
M,E,Y,18,61,42,47,45
F,A,Y,20,49,37,49,88
F,E,O,68,36,16,44,55
F,D,Y,38,26,7,48,31
F,E,O,88,26,61,47,50
M,B,M,59,58,6,73,46
F,B,M,62,35,8,66,38
F,E,M,61,113,7,72,29
M,E,Y,38,111,7,32,38
M,E,O,92,24,74,40,93
M,A,U,7,57,74,55,24
F,A,U,8,64,71,61,54
M,C,M,61,50,7,73,56
M,E,O,67,36,14,46,89
M,A,O,88,62,61,50,88
M,D,M,46,40,2,70,59
F,B,M,47,24,2,70,30
M,D,O,79,41,37,56,92
M,C,U,10,33,64,52,19
F,B,O,79,11,37,54,79
M,C,M,50,47,2,71,48
M,D,U,6,44,78,46,20
F,C,O,68,53,16,47,52
M,A,U,6,17,78,50,18
F,D,U,10,28,64,48,73
F,E,M,47,46,2,67,39
M,E,O,94,23,81,47,85
F,E,U,11,64,61,53,36
M,A,O,73,45,24,56,74
F,D,U,14,33,52,44,97
M,A,U,7,56,74,55,18
M,C,O,70,112,19,39,68
M,C,M,60,50,6,73,50
F,C,M,64,51,10,65,65
F,B,M,62,52,8,71,76
F,C,Y,37,42,8,52,86
M,B,M,55,34,3,66,45
M,A,Y,32,36,14,52,37
F,D,M,52,26,2,68,40
M,C,M,59,50,6,72,57
F,A,Y,37,54,8,49,72
M,A,O,66,56,13,47,67
F,D,U,11,111,61,56,58
M,B,O,86,38,55,58,83
F,D,M,43,33,4,68,55
M,E,M,61,40,7,75,52
M,A,Y,19,40,39,56,40
F,A,M,56,32,4,73,67
M,B,O,78,54,34,52,69
F,D,Y,36,25,9,54,87
F,A,U,11,31,61,55,26
M,C,U,14,35,52,49,28
F,E,O,68,36,16,57,46
F,B,M,60,54,6,68,99
F,C,O,79,56,37,29,83
M,E,M,52,44,2,67,51
F,C,O,68,53,16,46,47
F,B,M,62,37,8,66,44
M,B,U,6,55,78,49,28
M,A,O,90,48,68,62,72
M,C,U,13,34,55,57,14
F,D,M,51,37,2,71,83
M,E,O,80,30,39,43,80
M,E,Y,21,60,34,52,43
M,D,Y,18,46,42,62,44
M,D,Y,39,116,6,40,44
M,E,Y,35,52,10,50,38
M,C,Y,34,41,12,47,44
F,E,U,6,67,78,49,72
F,D,U,10,45,64,56,96
F,A,U,9,58,68,51,43
F,B,M,55,59,3,67,21
F,B,O,88,11,61,41,95
F,D,M,40,43,6,66,39
M,E,Y,38,51,7,54,37
M,D,O,85,42,52,49,76
